id,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,location,company_size,org_type,job_function_Software Architect,job_function_Security Engineer,job_function_Applications Developer,job_function_Mobile Developer,job_function_Back-End Developer,job_function_Front-End Developer,job_function_Full-Stack Developer,job_function_Game or Graphics Engineer,job_function_Quality Assurance Engineer,job_function_Development Manager,job_function_IT Manager/Operations,job_function_Software Development Management,job_function_DevOps Management,job_function_Product/Project Management,job_function_Release Management,job_function_Machine Learning Specialist,job_function_Data Scientist,job_function_Database Administrator,job_function_Training/Certification,job_function_Developer Relations,job_function_Sales,job_function_Marketing,job_function_Other (please specify),role,role_other_text,What is your job title?,data_center_Private cloud / on-premises,data_center_Public cloud,data_center_Hybrid cloud,data_center_Other (please specify),number_of_machines,activities_Develop software,activities_Test software,activities_Monitor and troubleshoot applications,activities_Architect software,activities_Manage deployment pipeline,activities_Manage security processes,activities_Manage data processes,activities_Work with AI and ML systems,activities_Work with infrastructure resources,activities_Cost management,"activities_Research, evaluate, and purchase new technologies",activities_Manage a cloud platform,container_Proof of concept,container_Development,container_Test,container_Production,kubernetes_Proof of concept,kubernetes_Development,kubernetes_Test,kubernetes_Production,kubernetes_Other (please specify),learn_Twitter,learn_YouTube,learn_Discuss Blog,learn_Meet ups and local events,learn_KubeCon,learn_StackOverflow,learn_Documentation,learn_Other (please specify),nps,nps_open,tech_explanation,non_tech_explanation,How would you explain to a colleague or friend the steps you’ve had to take thus far to reach your goals?,other_solutions,...80,...81,...82,...83,...84,...85,...86,...88
11630413205,257620230,2020-05-23T18:02:14Z,2020-05-23T18:12:30Z,NA,NA,NA,NA,North America,50-99,None of the above,Software Architect,NA,Applications Developer,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Principal Engineer,Private cloud / on-premises,Public cloud,NA,NA,501-1000,Very involved,Very involved,Very involved,Very involved,Very involved,Not involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,NA,NA,NA,NA,NA,Osmosis,10,It's the future of the world,Platform for platform building. Core of infrastructure automation and abstracting as much as possible from application. Declarative workloads.,It's like the OS of the cloud,"Read docs, watch videos, play with `kind`, go to conferences",Building bespoke web-based remote process management tools.,NA,NA,NA,NA,NA,NA,NA,NA
11627046909,257620230,2020-05-22T13:59:35Z,2020-05-22T14:06:25Z,NA,NA,NA,NA,Europe,5000+,None of the above,NA,Security Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Member of Technical Staff,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,6-20,Very involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,NA,NA,Meet ups and local events,KubeCon,NA,Documentation,NA,9,Eventually fun system,"Do more, work less",NA,Never stopped to learn,"Mesos, Docker Swarm, etc",NA,NA,NA,NA,NA,NA,NA,NA
11626323501,257620230,2020-05-22T06:46:59Z,2020-05-22T07:00:31Z,NA,NA,NA,NA,North America,100-499,None of the above,NA,NA,Applications Developer,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Senior Site Reliability Engineer,NA,Public cloud,NA,NA,501-1000,Very involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Very involved,Used in the past,Currently using,Currently using,Currently using,Used in the past,Currently using,Currently using,Currently using,NA,Twitter,YouTube,Discuss Blog,Meet ups and local events,KubeCon,StackOverflow,Documentation,"Active member of the k8s community, k8s Slack",10,"Kubernetes is an amazing thing.  Once you get past the overwhelming phase of ""getting started"" and you begin understanding the moving pieces and workflows- you realized you much you were missing out before it existed.","Continuity, Reliability, Peace of mind.  As an IT engineer with ~12 years of experience, I've been there before the days of k8s, where you had to be very aware of your environment.   Ever since we went all-in with k8s, we're able to focus on the more interesting things, and having to deal with operations less and less.","Kubernetes, once built and managed correctly, is like having a fleet of operators that consistently work for you, 24/7/365, handle the operational side of your application (for the most part) and allows you to focus on the more interesting things.","Reading (a lot), trial and error (a lot), pain, frustration, and eventually- the jackpot. Once you've gotten through the painful parts - you know it was all worth it.","For container orchestration, we tried mesosphere and Docker Swarm before going with k8s, because it was simply the best and most promising one.",NA,NA,NA,NA,NA,NA,NA,NA
11625255132,257620230,2020-05-21T23:11:03Z,2020-05-21T23:19:20Z,NA,NA,NA,NA,Europe,100-499,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Product/Project Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Program Manager,NA,Public cloud,NA,NA,6-20,Not involved,Not involved,Not involved,Not involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,NA,NA,NA,NA,NA,NA,community involvement,8,"Community culture, innovative project, pro-agile","deployment flexibility, cloud native, lightweight, open-source","it's like having a house with rooms that expand or contract based on your needs, and you can move around the furniture in the rooms",we have a really old K8s cluster and need to upgrade it quite a few versions to restore stability,"wasn't there, don't know",NA,NA,NA,NA,NA,NA,NA,NA
11624886409,257620230,2020-05-21T21:15:01Z,2020-05-21T21:18:35Z,NA,NA,NA,NA,North America,5000+,Managed service provider,NA,NA,NA,NA,NA,NA,NA,NA,Quality Assurance Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Red Hat Partner Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Very involved,Not involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,NA,NA,NA,NA,NA,So long ago I don't remember,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11624870733,257620230,2020-05-21T21:09:18Z,2020-05-21T21:56:48Z,NA,NA,NA,NA,North America,<10,Consultant,Software Architect,Security Engineer,Applications Developer,NA,Back-End Developer,Front-End Developer,NA,NA,NA,Development Manager,NA,Software Development Management,DevOps Management,Product/Project Management,Release Management,NA,NA,NA,Training/Certification,NA,NA,NA,Software architectures,Professional Services/Consultant,NA,Software Architect,Private cloud / on-premises,Public cloud,NA,NA,1-5,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Future plans,Future plans,Future plans,Future plans,Currently using,Currently using,Currently using,Future plans,NA,NA,YouTube,Discuss Blog,Meet ups and local events,NA,StackOverflow,Documentation,Katacoda,10,"The defacto ecosystem for distributed computing. Huge, healthy open source community that is vendor agnostic. Like Linux, Kubernetes will have a positive contribution to the current and future generations of software engineers. It's been a huge gift.","Kubernetes make it approachable to leverage large collections of CPU, memory, and I/O resources across a cluster to handle increasing customer demands and big data architectures. Kubernetes encapsulates the hard concepts of distributed computing.  It provides many of the ""-ilities"" that architects seek. Scalability, observability, modularity, deliverability, securability, evolvability, agnostic targets, agnostic connections to services, processing of scoped and unscoped data, distributed data, process and data sharding. The list continues and is long.",I leverage the Kubernetes tool set and community as they are allowing me to deliver results for cloud applications to a large community of users that demand access to lots of data and algorithms. It's ideal for machine learning.,"Learn, experiment, talk with others. Remind others that it's a large architecture and requires time, but it's not hard. Learn architecture like microservices first.   Master containers first. As a manager assess your team's ""maturity model"" and identify gaps before taking on the complexities of a distributed system. If you find Kubernetes frustrating, remember it's just a tool, what is really hard is distributed computing. Kubernetes is making distributed computing more approachable. Remember that Kubernetes is not a turnkey system and it's still at version 1.","Early on I looked at Mesosphere, Nomad, and Swarm. I would never consider a proprietary container orchestrator promoted by a single vendor, or myopic open source project e.g. Docker, ECS, PCF.  Kubernetes filled a growing void, and some other target agnostic open source project might have emerged if it was not for Kubernetes.",NA,NA,NA,NA,NA,NA,NA,NA
11624829395,257620230,2020-05-21T20:58:05Z,2020-05-21T21:04:11Z,NA,NA,NA,NA,Europe,<10,Consultant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Training/Certification,NA,NA,NA,NA,Professional Services/Consultant,NA,"Technical Trainer, Consultant",NA,Public cloud,NA,NA,1-5,Somewhat involved,Not involved,Not involved,Somewhat involved,Not involved,Not involved,Not involved,Not involved,Somewhat involved,Not involved,Somewhat involved,Not involved,Currently using,Currently using,Currently using,N/A,Currently using,Currently using,Currently using,Currently using,NA,Twitter,NA,NA,Meet ups and local events,KubeCon,StackOverflow,Documentation,NA,9,"Kubernetes is an extensive resource orchestrator, which scales well from small to massive deployments with a vibrant innovative ecosystem.  It's an investment, but a worthwhile one.",I'm trying to ensure the scalability and reliability of container deployments.,"Achieving distributed, scalable software components, possibly across the world.","Following training, experimenting, taking certifications, running workshops and trainings.","Docker, Docker Swarm.    Without Kubernetes I'd probably continue using Swarm but I'd look also at Mesos and Nomad.",NA,NA,NA,NA,NA,NA,NA,NA
11624746559,257620230,2020-05-21T20:31:27Z,2020-05-21T20:35:46Z,NA,NA,NA,NA,North America,10-49,Consultant,Software Architect,Security Engineer,Applications Developer,NA,Back-End Developer,NA,NA,NA,NA,NA,IT Manager/Operations,Software Development Management,DevOps Management,NA,NA,NA,NA,NA,NA,NA,Sales,NA,NA,Professional Services/Consultant,NA,CIO,NA,Public cloud,Hybrid cloud,NA,101-200,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Very involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Currently using,Currently using,Future plans,Currently using,Currently using,Currently using,Future plans,Currently using,NA,NA,NA,NA,Meet ups and local events,NA,NA,NA,NA,10,I use in prod environments,is the future,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11616905065,257620230,2020-05-19T02:07:26Z,2020-05-19T19:40:43Z,NA,NA,NA,NA,North America,5000+,Consultant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sales,NA,NA,Other (please specify),Pre-Sales SE,Staff Solutions Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,KubeCon,NA,Documentation,Community blogs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11612760757,257620230,2020-05-18T18:52:52Z,2020-05-18T18:54:11Z,NA,NA,NA,NA,North America,<10,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public cloud,Hybrid cloud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
